PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,
Q9UPM8,AP4E1,1.00E-07,1.00E-07,0.030950293,0.017319944,0.142928727,0.10432389,0.072100595,0.01319148,0.202267719,0.008660022,0.10432389,-0.071068564,0.047601891,-2.583834935,0.039097547,0.101032957,-5.685438622,"127,287",0.995536936,21,
Q9ULC3,RAB23,0.033636954,1.00E-07,0.007910215,0.030471792,0.081944484,0.057555865,0.019632329,0.084786151,0.025784094,0.019191003,0.057555865,-0.042974942,0.039492236,-2.582126549,0.039190764,0.101245546,-5.687937132,"26,659",0.994624074,11,
Q9BRJ6,C7orf50,0.094041399,0.078375915,0.095424599,0.08498603,0.092592207,0.109969389,0.103956809,0.100631862,0.089749445,0.089513715,0.100631862,-0.013580581,0.094997276,-2.58141776,0.039229508,0.101314585,-5.688973745,"22,083",0.994328032,10,
Q5VYS8,ZCCHC6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.061644102,0.072394613,-2.581236836,0.039239404,0.101314585,-5.689238349,"171,229",0.994328032,NA,
Q8N0U8,VKORC1L1,0.095311374,0.086994811,0.03838967,0.055315598,0.033007822,0.039134043,0.033384402,0.036340829,0.050973847,0.071155205,0.036340829,0.033536089,0.052234819,2.580397332,0.039285356,0.101404915,-5.690466142,"19,836",0.993940996,5,
Q9UEU0,VTI1B,0.175882336,0.093090376,0.199706185,0.145478309,0.259622234,0.195720217,0.249891538,0.195380209,0.256709115,0.160680322,0.249891538,-0.071614248,0.189346426,-2.578723792,0.039377131,0.101588274,-5.692913754,"26,688",0.993156417,8,
Q8WXA9,SREK1,0.089400904,0.14200075,0.074733298,0.065088341,0.251204188,0.147813609,0.138139795,0.149738808,0.155889116,0.082067101,0.149738808,-0.078918277,0.132264962,-2.57870129,0.039378366,0.101588274,-5.692946664,"59,380",0.993156417,8,
Q14554,PDIA5,0.031265972,0.020999869,1.00E-07,0.048024989,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.003438366,0.02613292,1.00E-07,0.025072632,0.012536416,2.577829895,0.039426243,0.101683415,-5.694221122,"59,594",0.992749875,20,
P62913,RPL11,0.009384623,0.014223996,0.079248125,0.085397804,0.101920081,0.121023777,0.073331508,0.137779972,0.0820648,0.04673606,0.101920081,-0.061450197,0.077788736,-2.577314029,0.039454615,0.101703901,-5.694975606,"20,252",0.992662388,14,
Q08174,PCDH1,0.818386087,0.991014429,1.049832705,0.860148876,0.390796298,0.902090788,0.533402539,0.678551957,0.680993465,0.925581653,0.678551957,0.303635129,0.77802796,2.577218894,0.03945985,0.101703901,-5.695114746,"114,743",0.992662388,13,
Q9BTN0,LRFN3,0.165140015,1.00E-07,1.00E-07,1.00E-07,0.253786449,0.594510792,1.109776645,0.258211021,0.942535935,1.00E-07,0.594510792,-0.512786148,0.297678153,-2.577085592,0.039467186,0.101703901,-5.695309708,"66,260",0.992662388,5,
Q14498,RBM39,0.13032516,0.135266632,0.139929487,0.140014943,0.131793563,0.089338909,0.110651494,0.120732787,0.110797961,0.137598059,0.110797961,0.023254867,0.124756622,2.576061899,0.039523569,0.101816947,-5.696806927,"59,380",0.992179928,23,
Q9H792,PEAK1,0.214964656,0.358215854,0.24230147,0.162481451,0.413965982,0.406380752,0.337762824,0.307146301,0.228145804,0.228633063,0.337762824,-0.121823107,0.305402411,-2.575889411,0.039533078,0.101816947,-5.697059204,"193,106",0.992179928,19,
O75420,GIGYF1,0.155771698,0.031452533,0.119419063,0.115670554,0.265379638,0.211971821,0.203218165,0.127381401,0.239386056,0.117544808,0.211971821,-0.096409294,0.153783109,-2.575662575,0.039545587,0.1018208,-5.697390968,"114,601",0.992163493,10,
Q8N1S5,SLC39A11,0.15882273,0.188342583,0.15734806,0.173944457,0.151229545,0.150260856,0.155938059,0.144837288,0.145693929,0.166383594,0.150260856,0.019048021,0.160090447,2.574011781,0.039636742,0.102015187,-5.699805394,"35,396",0.991335172,2,
Q9P2G1,ANKIB1,0.047426818,0.04604241,0.271454611,0.24495712,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.146191969,1.00E-07,0.15247014,0.07623517,2.573895886,0.03964315,0.102015187,-5.699974901,"122,002",0.991335172,8,
Q6F5E8,CARMIL2,0.11129821,0.372553416,0.31314471,0.235369352,1.00E-07,0.159000997,1.00E-07,0.154100939,1.00E-07,0.274257031,1.00E-07,0.179815888,0.168183478,2.573366469,0.039672436,0.102062142,-5.700749223,"154,689",0.991135319,6,
O15527,OGG1,0.0101743,0.123966572,0.071383446,0.072607562,0.032692472,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.071995504,1.00E-07,0.061359777,0.038853081,2.572964961,0.039694661,0.102090914,-5.701336469,"38,782",0.991012909,6,
P17568,NDUFB7,0.130431246,0.024606636,0.038157944,0.025120748,0.248314877,0.24933392,0.088714488,0.121052849,0.112353822,0.031639346,0.121052849,-0.12227489,0.115716589,-2.571866322,0.039755542,0.102219061,-5.702943345,"16,402",0.990468111,7,
Q99797,MIPEP,0.00448699,0.002135062,1.00E-07,1.00E-07,0.011124031,0.032496574,0.012285949,0.007789526,0.00976346,0.001067581,0.011124031,-0.014268457,0.008789792,-2.570968228,0.039805383,0.102318758,-5.704256912,"80,641",0.990044738,19,
Q8N684,CPSF7,0.142816979,0.130035148,0.113511475,0.142657276,0.137031101,0.161004375,0.163038704,0.159953184,0.165060048,0.136346212,0.161004375,-0.023001621,0.14375603,-2.570410001,0.039836396,0.102365859,-5.705073386,"52,050",0.989844867,16,
Q00535,CDK5,0.027687254,0.013386116,0.038396563,0.031091049,0.042216515,0.049333247,0.035143482,0.063101974,0.062004001,0.029389151,0.049333247,-0.019808559,0.037544525,-2.570239926,0.03984585,0.102365859,-5.705322142,"33,304",0.989844867,14,
Q9BUK6,MSTO1,0.001696797,1.00E-07,1.00E-07,1.00E-07,0.01200141,1.00E-07,0.00736578,0.01371443,1.00E-07,1.00E-07,0.00736578,-0.007846155,0.004347352,-2.569550752,0.039884182,0.102435873,-5.706330149,"61,835",0.989547927,14,
Q9Y2G0,EFR3B,0.169183555,0.085636379,0.095440979,0.103323311,0.163879652,0.174005295,0.149665821,0.240337443,0.47265413,0.099382145,0.174005295,-0.068575997,0.147684054,-2.569121078,0.0399081,0.102452465,-5.706958604,"92,487",0.989477587,16,
Q08357,SLC20A2,0.023014873,0.052406704,0.054050908,0.022660603,1.00E-07,0.032743254,1.00E-07,1.00E-07,0.018012951,0.037710788,1.00E-07,0.029847383,0.02310958,2.569036612,0.039912803,0.102452465,-5.707082147,"70,392",0.989477587,3,
Q13042,CDC16,0.047425853,0.053083008,0.09519138,0.062804129,0.085082357,0.135714229,0.091416279,0.168781149,0.115316469,0.057943569,0.115316469,-0.055622411,0.092437298,-2.566426126,0.04005846,0.102797813,-5.710900366,"71,656",0.988016124,17,
Q99435,NELL2,2.819880927,1.425145306,2.994977352,3.443506949,2.620393876,0.514962032,1.00E-07,1.00E-07,1.00E-07,2.90742914,1.00E-07,1.887038607,1.72735833,2.565482552,0.040111246,0.10290471,-5.712280496,"91,346",0.987564746,8,
Q9BTY7,HGH1,0.129836222,0.131447603,0.038898756,0.180359254,0.305628749,0.360171526,0.11944889,0.287645137,0.278393343,0.130641913,0.287645137,-0.148088116,0.194179517,-2.565021345,0.040137073,0.102942407,-5.712955087,"42,129",0.987405683,11,
Q92508,PIEZO1,0.036212682,0.056556343,0.194325684,0.260802912,0.251261937,0.343744927,0.253586613,0.515176923,0.376501804,0.125441013,0.343744927,-0.203968195,0.238958503,-2.564107881,0.040188278,0.103045152,-5.714291185,"286,790",0.986972434,7,
P36542,ATP5F1C,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.010762924,0.010206396,0.004879217,1.00E-07,1.00E-07,0.004879217,-0.006462059,0.00323113,-2.563608386,0.040216307,0.103088432,-5.715021785,"32,996",0.986790067,13,
O95749,GGPS1,0.034778827,0.013386449,0.01718,1.00E-07,0.013029564,0.076456675,0.06846822,0.09205174,1.00E-07,0.015283225,0.06846822,-0.046165206,0.039418947,-2.561597504,0.040329353,0.103349557,-5.717963073,"34,871",0.985691382,11,
P61077,UBE2D3,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.035144403,0.205163771,0.033401897,0.165538999,0.172482895,1.00E-07,0.165538999,-0.109812167,0.054906184,-2.561121755,0.040356147,0.103389564,-5.718658949,"16,687",0.985523294,1,
P46527,CDKN1B,1.796117242,1.738432387,1.770418688,1.674186618,1.706642509,2.180831437,2.527464654,2.292871041,2.307218065,1.754425538,2.292871041,-0.432163676,1.960870572,-2.560918158,0.04036762,0.103390308,-5.71895675,"22,073",0.985520172,8,
Q6MZP7,LIN54,0.317510896,0.321136432,0.243531247,0.334084885,0.29714153,0.19003044,0.163189496,0.082462222,0.306176198,0.319323664,0.19003044,0.120859943,0.243635894,2.560516836,0.040390243,0.103419604,-5.719543763,"79,494",0.985397131,6,
O14727,APAF1,0.054543687,0.061460608,0.039640384,0.055620163,0.049341684,1.00E-07,0.031987051,1.00E-07,1.00E-07,0.055081925,1.00E-07,0.032483977,0.036574222,2.560102506,0.040413614,0.103450796,-5.720149803,"141,840",0.985266163,28,
Q14161,GIT2,1.00E-07,0.031059,1.00E-07,1.00E-07,0.012702208,0.112083435,0.056022177,0.136434018,0.125117155,1.00E-07,0.112083435,-0.071545635,0.043537642,-2.558599411,0.040498517,0.103634153,-5.722348392,"84,543",0.984497097,16,
Q15750,TAB1,0.012293839,1.00E-07,1.00E-07,1.00E-07,0.023721227,0.006586495,0.056696721,0.065336681,0.048281862,1.00E-07,0.048281862,-0.035011746,0.020579408,-2.558437742,0.040507661,0.103634153,-5.722584867,"54,644",0.984497097,18,
Q9H5J4,ELOVL6,1.00E-07,0.09837699,1.00E-07,0.23077314,0.139241842,0.365421578,0.392498707,0.229901923,0.547266785,0.049188545,0.365421578,-0.19947843,0.182026797,-2.55803342,0.040530536,0.103663994,-5.723176274,"31,376",0.984372062,2,
Q8WU10,PYROXD1,0.105315721,0.620421491,0.105363141,0.419171403,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.262267272,1.00E-07,0.312567839,0.15628402,2.556482871,0.040618389,0.103859962,-5.725444294,"55,793",0.983551839,4,
Q8TEP8,CEP192,0.295788559,0.316817861,0.415004232,0.339389202,0.40394385,0.491718687,0.481661164,0.374040035,0.43571573,0.328103532,0.43571573,-0.096090971,0.389795449,-2.556164256,0.040636466,0.103877458,-5.725910339,"213,146",0.983478687,25,
Q96SB8,SMC6,0.17531294,0.155502387,0.170792189,0.17086895,0.160749439,0.089443596,0.142110425,0.078905136,0.113511521,0.170830569,0.113511521,0.050316967,0.142960633,2.554766341,0.040715879,0.10405169,-5.727955112,"126,326",0.98275086,37,
Q9H7X7,IFT22,0.122328411,0.003255803,0.004916199,0.128720508,0.161938293,0.154002414,0.184265817,0.125597273,0.116401362,0.063622305,0.154002414,-0.091645719,0.11062809,-2.554375246,0.040738125,0.104053156,-5.72852718,"20,835",0.982744743,5,
Q9H0U4,RAB1B,0.184216852,0.16985505,0.275045688,0.195429308,0.399131563,0.24016272,0.449693156,0.27718419,0.357569224,0.18982308,0.357569224,-0.135406183,0.273839816,-2.554360575,0.04073896,0.104053156,-5.72854864,"22,171",0.982744743,4,
Q7Z4H7,HAUS6,0.03536632,1.00E-07,0.021340495,0.00561331,0.074161084,0.112804742,0.01429758,0.077768562,0.047439816,0.013476903,0.074161084,-0.054177936,0.042669024,-2.553234375,0.040803094,0.104188181,-5.730195977,"108,621",0.982181543,33,
P05997,COL5A2,0.525967775,0.629930255,0.696746993,0.640487948,0.80605103,0.914708889,0.630843353,0.824370788,1.02926994,0.635209101,0.824370788,-0.170710272,0.708638379,-2.552232671,0.040860227,0.104305261,-5.731661214,"144,910",0.981693786,8,
Q8TB03,CXorf38,0.114631479,0.08553393,0.070319984,0.09736569,0.069773695,0.005192567,0.002552402,0.074624484,0.007543454,0.09144981,0.007543454,0.053926984,0.064999279,2.550820729,0.0409409,0.104482353,-5.733726531,"36,670",0.980957057,6,
Q96JP5,ZFP91,0.33138496,0.263200232,0.351873405,0.301359633,0.192346169,0.046976426,0.309169915,0.108318612,0.200759814,0.316372296,0.192346169,0.147751777,0.238078669,2.549691231,0.041005556,0.104597118,-5.73537871,"63,445",0.980480284,10,
Q86TA1,MOB3B,0.044603908,0.076354189,0.034033789,0.081528765,1.00E-07,0.056223228,1.00E-07,1.00E-07,0.042297934,0.060479048,1.00E-07,0.045074281,0.036593022,2.549639923,0.041008496,0.104597118,-5.735453761,"25,464",0.980480284,3,
Q92636,NSMAF,0.17131676,0.045050171,0.091783943,0.052352333,0.186442833,0.185321942,0.120302628,0.223006344,0.132940844,0.072068138,0.185321942,-0.088642635,0.134447119,-2.548979173,0.041046371,0.104664851,-5.736420278,"104,372",0.98019914,11,
Q96JA1,LRIG1,1.428883246,1.333537369,1.396052754,1.405640813,1.421035389,1.149767831,1.110386832,1.146065419,1.298317574,1.400846783,1.149767831,0.184214678,1.298921207,2.54856862,0.041069924,0.104696034,-5.73702082,"119,113",0.980069769,15,
Q96FZ7,CHMP6,0.177295342,0.097648155,0.193884549,0.143251645,1.00E-07,0.075339817,0.140936102,0.023400054,0.067840869,0.160273494,0.067840869,0.093100905,0.10646947,2.547960926,0.041104812,0.104756088,-5.737909733,"23,485",0.979820727,5,
Q58FF7,HSP90AB3P,0.002261077,1.00E-07,0.020926427,0.020838446,0.079620728,0.012109411,0.044650146,0.057817041,0.024252155,0.011549761,0.044650146,-0.037542819,0.029777922,-2.546583924,0.041183981,0.104928929,-5.739923966,"68,325",0.979104758,2,
Q96S59,RANBP9,0.188144258,0.213051205,0.195677078,0.245394721,0.230559428,0.24125121,0.271059502,0.250724677,0.289433441,0.204364142,0.250724677,-0.037831889,0.22948276,-2.545852073,0.041226122,0.104993746,-5.740994495,"77,847",0.978836571,15,
Q9UL40,ZNF346,0.015101731,0.092379134,0.033730496,0.027764231,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.030747364,1.00E-07,0.042243798,0.021121999,2.545747777,0.041232132,0.104993746,-5.741147057,"32,933",0.978836571,8,
Q9Y463,DYRK1B,0.356337352,0.167423169,0.407835638,0.223633186,0.114356716,0.187862006,0.168152951,0.01654986,0.058065259,0.289985269,0.114356716,0.167076953,0.20526886,2.545073104,0.041271027,0.105063854,-5.742133951,"69,198",0.978546674,12,
Q8NBT2,SPC24,0.045491752,1.00E-07,0.035911935,0.014314273,0.05472148,0.047476195,0.041554973,0.064971755,0.048158455,0.025113104,0.048158455,-0.028251585,0.038055308,-2.544566286,0.041300271,0.10510936,-5.742875311,"22,478",0.97835861,9,
P68402,PAFAH1B2,0.067924426,0.066248785,0.098606171,0.08146063,0.111939566,0.085806403,0.135211936,0.105748812,0.099796676,0.074692528,0.105748812,-0.031116676,0.094118341,-2.543784217,0.041345439,0.105195358,-5.744019303,"25,569",0.978003424,10,
P00387,CYB5R3,0.026063501,0.027892406,0.028969512,0.01113141,1.00E-07,1.00E-07,1.00E-07,0.023313321,0.008846806,0.026977954,1.00E-07,0.017685802,0.014671306,2.543202271,0.041379083,0.105251995,-5.744870563,"34,235",0.977769662,20,
Q9UKI8,TLK1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.073121439,0.03759389,1.00E-07,0.096267,0.128774001,1.00E-07,0.073121439,-0.051745507,0.025872854,-2.542302187,0.041431176,0.105355515,-5.746187188,"86,700",0.977342725,8,
O14974,PPP1R12A,0.112523427,0.106022183,0.116896564,0.098560491,0.182446932,0.122630166,0.135634286,0.131128006,0.165548936,0.109272805,0.135634286,-0.034459181,0.125730257,-2.540907775,0.041512014,0.105532054,-5.748226911,"115,281",0.976615607,37,
Q9UBW7,ZMYM2,0.052292532,0.095367924,0.010683074,0.113231089,0.105718903,0.21352589,0.113126447,0.226433957,0.197734963,0.073830228,0.197734963,-0.096807645,0.116297477,-2.539663108,0.041584311,0.105674033,-5.750047592,"154,911",0.976031718,37,
Q6P1X6,C8orf82,0.01795034,0.013732262,0.055261205,0.037004634,0.057621268,0.051563193,0.050321942,0.062195595,0.053718703,0.027477487,0.053718703,-0.024438389,0.043206305,-2.539552854,0.041590721,0.105674033,-5.75020887,"23,889",0.976031718,9,
Q86Y13,DZIP3,0.608692845,0.944835998,0.392805628,0.703619072,0.408994577,0.462547979,0.31594803,0.237456378,0.415253196,0.656155959,0.408994577,0.306251645,0.509362563,2.539260554,0.041607721,0.105688184,-5.750636444,"138,604",0.975973565,4,
Q96AT1,KIAA1143,0.465547956,1.00E-07,1.00E-07,1.00E-07,0.755009067,0.332508038,0.616287403,0.318449241,1.009373169,1.00E-07,0.616287403,-0.389176374,0.310975251,-2.538208651,0.04166896,0.105814667,-5.752175157,"17,465",0.975454131,5,
Q8NBX0,SCCPDH,0.026823456,0.042769804,0.030866492,0.016083964,0.046611673,0.036967934,0.074999036,0.054112119,0.032673596,0.028844974,0.046611673,-0.024036762,0.04115431,-2.537875344,0.041688384,0.105834925,-5.752662715,"47,151",0.975370995,16,
Q96SL8,FIZ1,0.103743201,0.091219559,0.03779572,0.001252677,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.04947522,0.064507639,1.00E-07,0.058502689,0.029251445,2.53748535,0.041711123,0.105863586,-5.753233194,"51,996",0.9752534,7,
Q99973,TEP1,0.795706481,0.198279464,0.706058102,0.195247494,1.00E-07,0.090871437,0.159605671,0.027820061,1.00E-07,0.452168783,0.027820061,0.404248568,0.271698601,2.536748934,0.041754097,0.105943572,-5.754310418,"290,490",0.974925387,3,
P49641,MAN2A2,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.341191241,0.452639551,0.771433984,1.878502451,0.880363614,1.00E-07,0.771433984,-0.860941707,0.430470953,-2.536195167,0.041786442,0.105996556,-5.755120463,"130,539",0.974708246,5,
Q9UM22,EPDR1,0.013542852,0.039538525,0.044617959,0.01029252,0.014524199,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.026540688,1.00E-07,0.023366839,0.015314544,2.535664466,0.041817465,0.106046156,-5.755896769,"25,437",0.974505069,8,
P35625,TIMP3,0.611916476,1.00E-07,1.00E-07,1.00E-07,1.027229858,0.678557167,0.29406713,0.712258638,0.533170167,1.00E-07,0.678557167,-0.525049004,0.415503696,-2.534307733,0.041896885,0.106218426,-5.757881389,"24,145",0.973800138,3,
O15209,ZBTB22,0.044359077,0.239254847,0.252153735,0.039867241,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.141806962,1.00E-07,0.143908625,0.071954413,2.530451199,0.042123501,0.106761898,-5.763522709,"65,602",0.971583715,1,
Q9BYK8,HELZ2,0.018146315,0.016520806,0.162116033,0.158562122,0.172493479,0.274171681,0.15936912,0.229633072,0.038386348,0.088354218,0.172493479,-0.120080519,0.148876578,-2.530267179,0.042134346,0.106761898,-5.763791893,"294,651",0.971583715,34,
Q9Y5X1,SNX9,0.121426424,0.080104357,0.112345152,0.098773588,0.120702642,0.148175561,0.117798279,0.139720409,0.141996,0.10555937,0.139720409,-0.028436843,0.117380802,-2.529441693,0.042183033,0.10685592,-5.76499941,"66,592",0.971201412,13,
P52848,NDST1,0.125136285,0.112260932,0.113883528,0.025505672,0.157729148,0.420546783,0.169534079,0.264142261,0.434124996,0.11307223,0.264142261,-0.158791463,0.173592336,-2.529246276,0.042194567,0.10685592,-5.765285264,"100,868",0.971201412,6,
O60870,KIN,0.164124476,0.15130482,0.164316714,0.11805896,0.250066838,0.259785023,0.223478164,0.143496732,0.205494938,0.157714648,0.223478164,-0.069755447,0.184328966,-2.528186922,0.042257151,0.106985108,-5.766834881,"45,374",0.97067667,14,
Q96T60,PNKP,0.003306093,0.066134852,0.037650436,0.022563151,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.030106794,1.00E-07,0.032413533,0.016206866,2.526919884,0.042332132,0.107145604,-5.768688297,"57,076",0.970025644,23,
Q9HCJ0,TNRC6C,0.303883882,1.030179882,0.34003466,0.165360439,1.205346355,1.862493417,0.633731905,1.229772589,0.742205177,0.321959271,1.205346355,-0.772971351,0.846350391,-2.521860104,0.042632951,0.107877468,-5.776089688,"175,964",0.967069255,11,
Q9H115,NAPB,0.109410991,0.031323711,0.053202196,0.026640784,0.096272883,0.130347182,0.090150011,0.184834084,0.178343889,0.042262953,0.130347182,-0.070256619,0.09027273,-2.520457827,0.042716716,0.108059852,-5.778140916,"33,557",0.966335631,20,
Q13616,CUL1,0.103694071,0.078001461,0.098026189,0.091010309,0.106345909,0.100719054,0.120561842,0.134172179,0.132869595,0.094518249,0.120561842,-0.022766738,0.104066377,-2.518775978,0.042817409,0.108284945,-5.780601088,"89,679",0.965431918,48,
Q9P2N2,ARHGAP28,0.269192204,0.181734357,0.348043088,0.207611519,0.475952589,0.505004731,0.3391285,0.297455679,0.48247359,0.238401862,0.475952589,-0.152740083,0.328015333,-2.515262287,0.043028575,0.108789228,-5.785740814,"82,060",0.963414104,9,
Q7Z401,DENND4A,0.342170943,0.209653035,0.372576061,0.200312168,0.090203591,0.25418438,0.007205264,0.113145733,0.254719232,0.275911989,0.113145733,0.16499331,0.198681397,2.513833887,0.043114731,0.108977256,-5.787830224,"209,244",0.962664132,10,
Q96BQ5,CCDC127,0.009990601,1.00E-07,0.017948599,0.008343279,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.068868759,0.00916694,1.00E-07,0.009070545,0.004535372,2.513366095,0.043142985,0.109014763,-5.788514492,"30,834",0.962514687,6,
Q08345,DDR1,1.299162237,0.901546836,0.717451009,1.222110792,1.647928918,1.272424254,1.655613417,1.268136912,0.809247359,1.061828814,1.272424254,-0.425958157,1.248046797,-2.513197875,0.043153151,0.109014763,-5.788760556,"101,128",0.962514687,12,
P54132,BLM,0.057382295,0.205378845,0.424366454,0.12573544,0.386196676,0.31174001,0.520708431,0.50784269,0.36439684,0.165557143,0.386196676,-0.228406193,0.317418855,-2.510059406,0.043343262,0.109443249,-5.793351351,"159,000",0.960811024,17,
Q9Y3S2,ZNF330,0.406523683,0.300887244,0.415718371,0.319670163,0.549503072,0.457837876,0.432566752,0.412486353,0.458825258,0.363096923,0.457837876,-0.102398648,0.411899189,-2.510007077,0.043346439,0.109443249,-5.793427894,"36,201",0.960811024,4,
Q96C00,ZBTB9,0.043507789,0.236695744,0.30730796,0.039021193,1.233172173,0.529614174,0.268784151,0.6786431,0.333220717,0.140101767,0.529614174,-0.520920228,0.417093286,-2.509687322,0.043365859,0.109462389,-5.793895614,"50,602",0.960735078,7,
Q9Y5A9,YTHDF2,0.535166581,0.520881426,0.51231696,0.571889562,0.715847921,0.596933161,0.590734038,0.575466636,0.578704597,0.528024003,0.590734038,-0.084681807,0.577404536,-2.508615119,0.043431043,0.109597004,-5.795463966,"62,334",0.960201317,11,
Q8TB73,NDNF,1.527815106,1.592116299,1.464640312,0.716688585,0.593695484,0.810065682,0.62822941,1.046345513,1.144524958,1.496227709,0.810065682,0.555731054,1.047449549,2.507088439,0.043524034,0.109801696,-5.797697087,"64,673",0.959390951,6,
Q96LT7,C9orf72,0.042324614,0.165769213,0.133626816,0.138965642,0.310760556,0.305573574,0.423353533,0.114451299,0.427414192,0.136296229,0.310760556,-0.168363169,0.204353156,-2.506841211,0.043539112,0.109809774,-5.798058714,"54,328",0.959359003,4,
O95865,DDAH2,1.00E-07,1.00E-07,0.00211811,1.00E-07,0.05960106,0.012388677,0.017368074,0.018974946,0.046430059,1.00E-07,0.018974946,-0.026553587,0.013806396,-2.50653113,0.043558032,0.109827532,-5.798512277,"29,644",0.959288776,15,
O94826,TOMM70,0.059484113,0.052603437,0.057463219,0.047925612,0.054065421,0.027948281,0.011144872,0.034555127,0.033474942,0.055033328,0.033474942,0.02244067,0.04314876,2.506163259,0.043580488,0.109854197,-5.799050371,"67,455",0.959183347,34,
Q9NPB8,GPCPD1,0.091569533,0.002004488,0.098840262,0.026113709,0.143182894,0.079453491,0.123070093,0.15834859,0.165203557,0.058841621,0.143182894,-0.071381769,0.090322882,-2.505914981,0.043595651,0.109862467,-5.799413531,"76,035",0.959150655,16,
Q13131,PRKAA1,0.040032821,0.034690007,0.028006561,0.072213116,0.065357046,0.06485578,0.077804573,0.066568964,0.035041439,0.037361414,0.065357046,-0.024910965,0.056191109,-2.50327972,0.043756933,0.110238856,-5.80326816,"64,009",0.957665302,19,
Q8N398,VWA5B2,1.987565482,2.434386845,1.079008227,2.824448654,1.00E-07,0.530614559,1.984482826,1.00E-07,1.00E-07,2.210976163,1.00E-07,1.452577906,1.355063349,2.502351927,0.043813863,0.110352215,-5.804625242,"132,764",0.957218945,8,
Q86UV5,USP48,0.040501827,0.026720091,0.041329468,0.014703446,0.051127169,0.041987751,0.043458123,0.055850101,0.046273521,0.033610959,0.046273521,-0.017292078,0.039459747,-2.501768785,0.043849685,0.110412361,-5.805478201,"119,032",0.956982301,30,
Q96C12,ARMC5,0.998285342,0.900636633,0.806152703,0.784506058,1.020103604,1.018493168,0.930242614,1.082017383,0.98140325,0.853394668,1.018493168,-0.140319008,0.942554688,-2.500399947,0.043933892,0.110594274,-5.807480384,"97,682",0.956267358,7,
P48067,SLC6A9,0.157085407,0.278057036,0.179959876,0.433468855,0.615795941,0.293118248,0.482360047,0.589086549,0.490101689,0.229008456,0.490101689,-0.232947403,0.378616495,-2.497438224,0.044116668,0.111024145,-5.811812415,"78,260",0.954582563,4,
Q5T0N5,FNBP1L,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.064596957,0.023492495,1.00E-07,0.055784056,1.00E-07,1.00E-07,0.023492495,-0.035968302,0.017984251,-2.496523031,0.044173307,0.111136434,-5.813151029,"70,065",0.954143541,26,
Q8WUG5,SLC22A17,0.894342098,0.632804056,0.627215175,0.66767277,0.786666564,0.889949139,0.935600223,1.119892942,0.789063442,0.650238413,0.889949139,-0.227518692,0.819267871,-2.496273152,0.044188785,0.111145131,-5.813516515,"57,686",0.954109557,3,
Q8N442,GUF1,1.00E-07,0.069108266,0.030523336,0.037267633,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.033895485,1.00E-07,0.034224734,0.017112467,2.495606688,0.044230094,0.111218778,-5.814491318,"74,328",0.953821883,21,
O75943,RAD17,1.00E-07,1.00E-07,1.00E-07,0.011098611,0.200432804,0.065626879,0.182347303,0.008714034,1.00E-07,1.00E-07,0.065626879,-0.111505527,0.058527491,-2.494696753,0.044286558,0.111330484,-5.815822227,"77,055",0.953385903,14,
Q9BYC9,MRPL20,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.0167105,0.00683216,0.040756134,0.068657431,0.028760582,1.00E-07,0.028760582,-0.033238956,0.016619578,-2.491504312,0.044485258,0.11179959,-5.820491568,"17,443",0.951559788,4,
Q8TDJ6,DMXL2,1.00E-07,0.079274079,1.00E-07,1.00E-07,0.038845543,0.09039194,0.112391804,0.079284543,0.104999467,1.00E-07,0.09039194,-0.060409863,0.050023526,-2.488643038,0.044664136,0.112218641,-5.824676456,"339,641",0.949934994,64,
Q9UHQ4,BCAP29,0.054463611,0.07301592,0.057585343,0.062341615,0.140252468,0.635374236,0.167322086,0.437950675,0.135077253,0.059963479,0.167322086,-0.283373244,0.203538244,-2.487935941,0.044708457,0.112292001,-5.825710641,"28,320",0.94965118,5,
