PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,NES Assoc
Q06124,PTPN11,0.010029309,0.024272543,0.046385825,0.0130259,0.044299983,0.070370736,0.028601485,0.06477838,0.058036659,0.018649222,0.058036659,-0.028584251,0.03772052,-2.333288284,0.055591754,0.132816889,-6.051616957,"68,436",0.876746696,25,1
Q8N1F7,NUP93,0.048644152,0.051067025,0.053267311,0.045945022,0.083276136,0.052184662,0.056594702,0.078224672,0.091912249,0.049855589,0.078224672,-0.017839166,0.05865046,-2.331545727,0.055728942,0.133075877,-6.054157421,"93,488",0.875900665,47,1
Q9UKA9,PTBP2,0.042597239,0.014795605,0.036954624,0.031386527,0.059925501,0.034048615,0.065275903,0.048905394,0.076572608,0.034170575,0.059925501,-0.020605354,0.041736176,-2.326516891,0.056126811,0.133922192,-6.061488045,"57,491",0.873147452,15,1
Q8WWL2,SPIRE2,0.055516612,0.272727451,0.055581161,0.358207441,0.043525476,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.164154306,1.00E-07,0.174626722,0.098194805,2.32228707,0.056463732,0.134517822,-6.067652898,"79,671",0.871220174,1,1
Q92618,ZNF516,0.727091254,0.868541121,0.700499948,0.786230652,0.554703807,0.587507927,0.783698208,0.570949049,0.640275608,0.756660953,0.587507927,0.146375996,0.697402746,2.320826947,0.05658052,0.134726625,-6.069780765,"124,289",0.870546569,11,1
Q2KHT3,CLEC16A,0.210019863,0.189304982,0.246988525,0.100170805,0.221419659,0.46502634,0.264164517,0.354323475,0.285540767,0.199662423,0.285540767,-0.139612454,0.256427271,-2.318792112,0.056743691,0.135045604,-6.072745978,"117,715",0.869519549,11,1
Q9NSC5,HOMER3,0.374186342,0.127141545,0.426905894,0.244058597,0.431766309,0.494994717,0.398907996,0.48077012,0.246593066,0.30912247,0.431766309,-0.158536691,0.37234144,-2.313283087,0.057187894,0.135962783,-6.080772716,"39,836",0.866579954,7,1
Q9NU19,TBC1D22B,1.00E-07,1.00E-07,1.00E-07,0.12927256,0.30997142,0.267477904,0.965116642,0.201028726,0.581107618,1.00E-07,0.30997142,-0.403580458,0.234108444,-2.310319838,0.057428306,0.136464177,-6.085089508,"59,081",0.864981339,7,1
Q9UJ04,TSPYL4,2.342266518,2.324433418,1.925058253,2.958944091,1.973431295,1.790916069,1.984445947,1.853257067,2.060711755,2.333349968,1.973431295,0.487162976,2.144094082,2.306571962,0.057733867,0.137084575,-6.090548601,"45,126",0.86301141,9,1
O15031,PLXNB2,0.407573889,0.4200113,0.392303345,0.373317914,0.465531174,0.40834872,0.417989375,0.450664355,0.458710718,0.399938617,0.450664355,-0.037331794,0.416967509,-2.295404903,0.05865427,0.138877691,-6.106809403,"205,127",0.857367513,51,1
Q8NF64,ZMIZ2,0.667569112,0.542541287,0.145519107,0.140962722,0.207690295,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.344030197,1.00E-07,0.322225408,0.213035353,2.293996456,0.058771424,0.139119453,-6.108859758,"96,537",0.856612138,1,1
Q9NPG3,UBN1,0.235456693,1.00E-07,0.056763624,1.00E-07,0.164095966,0.250631037,0.158095021,0.322956117,0.321530512,0.028381862,0.250631037,-0.150889406,0.148499832,-2.29040184,0.059071513,0.139651038,-6.114092079,"121,520",0.854955832,9,1
Q8WVZ9,KBTBD7,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.155432463,0.48855339,1.439745473,0.406115119,0.152956229,1.00E-07,0.406115119,-0.622461511,0.311230856,-2.28796192,0.059276102,0.140063083,-6.117643159,"77,163",0.85367632,2,1
Q9BUJ2,HNRNPUL1,0.00643742,0.022423993,0.010611664,0.02424326,0.030208163,0.024486514,0.022313101,0.042334647,0.033737516,0.016517828,0.030208163,-0.013906522,0.022882345,-2.284338101,0.059581308,0.140640483,-6.122916589,"95,739",0.851889652,34,1
O75037,KIF21B,0.263372222,0.137642102,0.038684332,0.118325438,0.054807848,0.021072071,0.054958052,1.00E-07,0.096562542,0.12798377,0.054807848,0.106796506,0.086107771,2.281259315,0.059841878,0.141075473,-6.127396204,"182,662",0.850548486,30,1
Q9Y6H5,SNCAIP,1.292046799,1.301614594,1.314512515,1.274724217,1.143600139,0.522499533,1.257142698,0.530811831,1.30545315,1.296830696,1.143600139,0.432210981,1.079619041,2.280998222,0.059864029,0.141091719,-6.127776064,"100,409",0.850498475,2,1
Q86WG3,ATCAY,0.34348612,0.304384739,0.221510421,0.280332317,0.569530427,0.705002699,0.547275422,0.233520726,0.418185087,0.292358528,0.547275422,-0.226403919,0.400630359,-2.275474581,0.060334635,0.142019866,-6.135811253,"42,120",0.8476509,4,1
Q9C0C4,SEMA4C,0.736556751,0.754863337,0.433277845,0.79286149,0.829272338,0.903220224,0.861747701,0.864076253,0.796952644,0.745710044,0.861747701,-0.185189273,0.771984492,-2.274422315,0.060424717,0.142195706,-6.137341742,"92,623",0.847113518,18,1
P67936,TPM4,0.087421812,0.057564848,0.09570344,0.005279525,1.00E-07,1.00E-07,0.020194823,0.032828801,1.00E-07,0.07249333,1.00E-07,0.04823645,0.037374181,2.269010777,0.060890169,0.143072554,-6.14521145,"28,522",0.844443669,9,1
Q16799,RTN1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.05544917,0.097850532,0.028930917,1.00E-07,0.040415134,1.00E-07,0.040415134,-0.04555758,0.02277889,-2.266706054,0.061089517,0.143468039,-6.148562467,"83,618",0.843244837,19,1
Q8IWS0,PHF6,0.089057124,0.057920988,0.099167805,0.097910375,0.035183998,0.092076975,0.031610025,0.027270424,0.076398038,0.093483749,0.035183998,0.039478717,0.066274714,2.261514377,0.061541029,0.144418365,-6.156109665,"41,290",0.840377576,18,1
Q4AC94,C2CD3,0.311856918,0.396885345,0.357997181,0.136110683,0.985776065,0.612213745,0.260895419,0.767607368,0.474606949,0.33492705,0.612213745,-0.355910618,0.47866784,-2.258598464,0.061796122,0.144869915,-6.160347709,"260,389",0.839021794,3,1
Q8NFU7,TET1,0.111296566,0.05797345,0.234874289,0.543180262,0.001854397,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.173085427,1.00E-07,0.236367467,0.118647408,2.251252019,0.062443629,0.146090865,-6.171022395,"235,309",0.83537694,3,1
Q5R3I4,TTC38,1.00E-07,0.02986714,1.00E-07,0.056232615,0.054199539,0.103510046,0.036754119,0.160762389,0.056081764,0.01493362,0.056081764,-0.067281534,0.055165756,-2.24804619,0.062728362,0.14646122,-6.175679326,"52,787",0.834277351,15,1
Q9UI08,EVL,0.056838936,0.055246981,0.278350926,0.402121307,0.006928069,1.00E-07,0.037959857,1.00E-07,1.00E-07,0.167594931,1.00E-07,0.186917506,0.104680784,2.240393322,0.063413459,0.147911412,-6.186793029,"44,620",0.829998316,9,1
O43310,CTIF,0.025131333,1.00E-07,1.00E-07,1.00E-07,0.122076955,0.049242708,1.00E-07,0.138277069,0.089379357,1.00E-07,0.089379357,-0.0711163,0.041841058,-2.238620803,0.063573227,0.148171933,-6.189366474,"67,587",0.829234053,12,1
Q9Y6M7,SLC4A7,0.026545712,0.068364981,0.040397983,0.04322146,0.048463353,1.00E-07,1.00E-07,0.001931067,1.00E-07,0.041809721,1.00E-07,0.032033879,0.028615594,2.237672833,0.063658843,0.148296715,-6.190742691,"136,044",0.828868468,15,1
P15104,GLUL,2.959148715,2.845526724,2.860104034,3.104669883,2.981792522,2.60929191,2.579713956,2.642021075,2.763572829,2.909626375,2.642021075,0.239157473,2.822783603,2.226619709,0.064665856,0.150226257,-6.206783702,"42,064",0.823254152,10,1
O43299,AP5Z1,0.486742211,0.409184969,0.502808192,0.403367661,0.409543354,0.410088206,0.363373589,0.376338692,0.491560273,0.44796359,0.409543354,0.060689798,0.420180859,2.212708626,0.065956439,0.152802113,-6.226957848,"88,605",0.81587064,11,1
O95429,BAG4,0.020266552,1.00E-07,1.00E-07,0.036632958,0.049414242,0.332883194,0.047671736,0.332145341,0.187177871,0.010133326,0.187177871,-0.176303701,0.102376778,-2.212215211,0.066002695,0.152832687,-6.227673102,"49,594",0.815783752,3,1
Q15072,ZNF146,0.245453065,0.42183393,0.163918061,0.071079774,0.170044118,1.00E-07,1.00E-07,1.00E-07,0.027833949,0.204685563,1.00E-07,0.183060103,0.134041156,2.208311937,0.066369785,0.153528905,-6.233330528,"33,308",0.813809848,3,1
P12955,PEPD,0.128941374,0.1201072,0.124112299,0.108452183,0.135858739,0.120061651,0.144518315,0.14003961,0.144472352,0.122109749,0.14003961,-0.014716315,0.127761421,-2.201070974,0.067056302,0.154729866,-6.243822001,"54,548",0.810425851,19,1
P0CJ78,ZNF865,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.008600622,0.095926423,0.295219194,0.112451436,0.503190185,1.00E-07,0.112451436,-0.128049319,0.064024759,-2.200630633,0.067098284,0.154764987,-6.24445986,"111,077",0.810327285,4,1
Q02641,CACNB1,0.108998082,0.507584383,0.434217706,0.105131929,1.00E-07,0.178269008,1.00E-07,1.00E-07,1.00E-07,0.271607894,1.00E-07,0.244415698,0.166775176,2.197504916,0.06739706,0.15520628,-6.248987125,"65,714",0.80909071,10,1
Q8IV32,CCDC71,0.340862745,0.129419057,0.052428189,0.181721281,0.389659128,0.19335801,0.439306726,0.368071231,0.288461462,0.155570169,0.368071231,-0.171490956,0.261853296,-2.186176845,0.068491281,0.157245249,-6.265386949,"49,648",0.803422467,8,1
Q712K3,UBE2R2,0.581570045,0.427974407,0.473353059,0.534532925,0.944274495,0.52818375,0.710943819,0.632591556,0.658792053,0.503942992,0.658792053,-0.199640796,0.604178007,-2.182742193,0.06882661,0.157751819,-6.270356921,"27,166",0.802025624,6,1
Q32NB8,PGS1,0.113313955,0.137551569,0.106759398,0.12099542,0.160082655,0.17356562,0.164469639,0.111127011,0.124730047,0.117154687,0.160082655,-0.032656146,0.135983158,-2.177378089,0.069353663,0.158723755,-6.278116518,"62,730",0.799358072,10,1
O60422,ONECUT3,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.131181473,0.168508369,0.012883032,0.019023809,0.117539869,1.00E-07,0.117539869,-0.082899071,0.041449635,-2.175832013,0.069506335,0.158994452,-6.28035251,"50,037",0.79861803,6,1
O75923,DYSF,0.083780836,0.357423399,0.083871055,0.699543463,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.220647227,1.00E-07,0.306154588,0.153077394,2.167673146,0.07031769,0.16052589,-6.292148166,"237,295",0.794454912,12,1
Q9ULP9,TBC1D24,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.026665089,0.06747405,0.023059481,1.00E-07,0.009703343,1.00E-07,0.023059481,-0.02929958,0.01464989,-2.158709683,0.071220168,0.162152591,-6.30509917,"62,919",0.790076107,21,1
Q9BZZ5,API5,0.08728254,0.067767308,0.087272572,0.055088571,0.103123385,0.106439573,0.073488096,0.110924713,0.068469547,0.07751994,0.103123385,-0.024141194,0.086423345,-2.151194294,0.071985914,0.163734751,-6.315951353,"59,005",0.785859135,27,1
P09543,CNP,0.144812189,0.119403152,0.118252325,0.103190715,0.170221141,0.155857951,0.120154927,0.152241974,0.143043968,0.118827738,0.152241974,-0.028204403,0.135516797,-2.137390778,0.073414206,0.166614567,-6.335867493,"47,579",0.778287032,20,1
Q5T0B9,ZNF362,0.034050543,0.02825314,1.00E-07,0.059276163,0.283044503,1.343089952,0.419637387,0.232229422,0.529735466,0.031151841,0.419637387,-0.53910533,0.299947651,-2.135750849,0.073585794,0.166881101,-6.338232216,"45,814",0.777592844,7,1
O14924,RGS12,0.25928122,0.399295594,0.337510683,0.355061093,0.439234114,0.400807468,0.365172869,0.418974373,0.321617177,0.346285888,0.400807468,-0.068260058,0.371917177,-2.128105108,0.07439116,0.168377152,-6.349253056,"156,357",0.77371684,14,1
Q9HBW0,LPAR2,1.00E-07,1.00E-07,1.00E-07,0.202921876,0.142887379,0.115159654,0.202009964,0.368010326,0.023554645,1.00E-07,0.142887379,-0.156286287,0.128873687,-2.126574739,0.074553432,0.16870314,-6.35145817,"39,084",0.772876834,1,1
O60313,OPA1,0.035867295,0.034964791,0.033436071,0.034271462,0.029360933,1.00E-07,0.025545563,0.026855683,0.015454729,0.034618126,0.025545563,0.014194335,0.027537737,2.125974224,0.074617205,0.168806136,-6.35232338,"111,631",0.772611772,48,1
Q8NFZ4,NLGN2,0.398312119,0.18659611,0.268465135,0.259185035,0.604334413,0.699377448,0.338003594,0.325947911,0.571129976,0.263825085,0.571129976,-0.213776241,0.385027721,-2.123492895,0.074881302,0.169362161,-6.355897977,"90,820",0.771183613,8,1
P31146,CORO1A,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.043744474,1.00E-07,0.014276879,0.016828148,0.104423722,1.00E-07,0.016828148,-0.0187123,0.00935625,-2.115759271,0.075710507,0.170778079,-6.367034327,"51,026",0.767567877,6,1
Q96BN2,TADA1,0.091074354,0.217996049,0.150963844,0.275469321,0.136159821,1.00E-07,0.118159402,0.071516701,1.00E-07,0.184479947,0.071516701,0.102416886,0.132667449,2.107845393,0.076568658,0.172338096,-6.378422747,"37,382",0.76361871,7,1
O15344,MID1,0.097497857,0.097587816,0.077498429,0.112192832,0.081732115,0.08127575,0.055400006,1.00E-07,0.05379175,0.097542836,0.055400006,0.041592241,0.075398113,2.099081966,0.077530412,0.173989982,-6.391024651,"75,251",0.759475757,12,1
Q9BVV7,TIMM21,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.068339679,0.269844384,0.102141395,0.661311857,0.004060154,1.00E-07,0.102141395,-0.275409229,0.137704714,-2.095685687,0.077906414,0.174539062,-6.395905929,"28,202",0.758107363,3,1
Q70EL1,USP54,0.805416496,0.416647922,0.852517609,0.579300928,1.00E-07,1.00E-07,0.81322782,1.00E-07,0.517399341,0.692358712,1.00E-07,0.460163709,0.433388884,2.094758826,0.078009347,0.174685014,-6.397237798,"187,388",0.757744352,2,1
Q6KCM7,SLC25A25,0.272779459,0.167517503,0.058291338,0.16707543,0.50570481,0.450090367,0.12562993,0.349995064,0.281364717,0.167296466,0.349995064,-0.19143911,0.262135488,-2.094001815,0.078093518,0.174831155,-6.398325515,"52,663",0.757381173,3,1
Q02410,APBA1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.000214061,0.408829795,0.089511237,0.217769134,1.00E-07,1.00E-07,0.089511237,-0.179080957,0.089540578,-2.090122872,0.078526256,0.175544914,-6.403897843,"92,865",0.755611749,3,1
Q9NS39,ADARB2,1.070900532,1.051156535,1.161041685,1.001067557,1.386275131,1.386292406,1.229571565,1.024694564,1.170248002,1.061028534,1.229571565,-0.185666839,1.163874997,-2.088299078,0.078730556,0.175874056,-6.406517153,"80,621",0.754798221,9,1
Q9NT62,ATG3,0.118860868,0.117256109,0.15636914,0.118094013,0.179075694,0.15369634,0.14839117,0.135973869,0.16982177,0.11847744,0.15369634,-0.026639236,0.14096465,-2.087894384,0.078775962,0.175932981,-6.407098312,"35,864",0.754652738,10,1
Q2TAK8,MUM1,,,,,,,,,,,,-0.27587257,0.869335701,-2.087220076,0.078851677,0.176059551,-6.408066598,"78,636",0.754340409,,1
Q8N8K9,KIAA1958,0.314697276,0.288228939,0.232602053,0.289883716,0.352533753,0.263979775,0.402004945,0.420475897,0.388625745,0.289056327,0.388625745,-0.078395597,0.320550794,-2.076466037,0.080069167,0.178390244,-6.42350094,"79,212",0.7486289,7,1
Q9BUB4,ADAT1,0.249857975,0.139220645,0.021889157,0.049456183,1.00E-07,1.00E-07,0.03990717,1.00E-07,0.017451246,0.094338414,1.00E-07,0.105129123,0.062541429,2.076140754,0.080106286,0.17840888,-6.423967549,"55,392",0.748583533,2,1
Q7Z3B3,KANSL1,0.631460016,0.894686562,1.044898729,1.127294897,0.762027253,0.56591106,0.571721103,0.796477917,0.75149076,0.969792646,0.75149076,0.250550718,0.799309692,2.075064515,0.080229226,0.178534964,-6.42551128,"121,025",0.748276719,9,1
Q8TC76,FAM110B,0.643531391,0.492354759,0.48228978,0.611505278,0.4283244,0.33642786,0.167006884,0.559410207,0.454255558,0.551930019,0.4283244,0.184627965,0.46510632,2.073957793,0.080355845,0.178684499,-6.427098572,"40,728",0.747913122,2,1
Q03111,MLLT1,0.297907421,0.358145124,0.322433573,0.328992079,0.43590373,0.35395213,0.412116179,0.668776144,0.580303272,0.325712826,0.43590373,-0.140817497,0.397278297,-2.072294073,0.08054657,0.179065541,-6.429484411,"62,056",0.746987981,7,1
Q96S38,RPS6KC1,0.030990762,0.142404584,0.138248413,0.088594211,0.164410088,0.144045306,0.148127253,0.155130559,0.072435143,0.113421312,0.148127253,-0.052868809,0.126493897,-2.067868218,0.081056161,0.179938839,-6.435829409,"118,682",0.744875087,10,1
P52756,RBM5,0.51529371,0.457986467,0.490472861,0.494747653,0.545098211,0.517517604,0.491480251,0.542304527,0.550203879,0.492610257,0.542304527,-0.034474975,0.50686266,-2.067611399,0.08108583,0.179961495,-6.436197507,"92,154",0.744820408,17,1
Q9H0K6,PUS7L,0.149497754,0.163485012,0.075839974,0.114359523,0.177333611,0.221317198,0.236263154,0.123729265,0.242738842,0.131928638,0.221317198,-0.063865241,0.157728186,-2.06508194,0.081378635,0.180568002,-6.439822485,"80,700",0.743359208,9,1
Q9P2F5,STOX2,0.236464421,0.24021913,0.215381344,0.271626733,0.115765518,0.27518967,0.141462413,0.10510422,0.338363885,0.238341776,0.141462413,0.081542452,0.200151681,2.056256953,0.082408555,0.182502875,-6.452462577,"102,671",0.738730289,4,1
O95819,MAP4K4,0.242652327,0.229407771,0.247174421,0.248774821,0.292975907,0.25407049,0.241258606,0.278322358,0.261606117,0.244913374,0.261606117,-0.024654505,0.254329588,-2.044099174,0.083848928,0.185072139,-6.469857961,"142,101",0.732658956,26,1
Q93075,TATDN2,0.72949471,1.304904024,0.521477661,0.783631668,0.8503771,0.14528152,0.343533466,0.131751771,0.4696696,0.756563189,0.343533466,0.467141051,0.60130649,2.043061359,0.083973047,0.185244549,-6.47134187,"85,023",0.732254563,8,1
Q9H0K1,SIK2,0.466949215,0.558122964,0.213221104,0.488969759,1.093719883,0.746614858,1.138832948,0.334263054,0.737509889,0.477959487,0.746614858,-0.396541925,0.630086723,-2.038985593,0.084462281,0.185987183,-6.47716801,"103,915",0.730516984,3,1
Q9H875,PRKRIP1,0.149748794,0.154852526,0.108279231,0.198974851,0.027690201,0.050975908,0.157775687,0.104350952,0.074556074,0.15230066,0.074556074,0.067765664,0.119081019,2.034979115,0.084945986,0.186691369,-6.482892686,"20,997",0.728875759,3,1
Q14571,ITPR2,0.184685724,0.147391276,0.013868911,0.009313047,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.080630093,1.00E-07,0.088814639,0.04440742,2.03101114,0.085427782,0.18766103,-6.488559955,"308,064",0.726625905,14,1
Q99418,CYTH2,0.241165277,0.082457729,0.488782278,0.198052511,0.221392534,0.659024225,0.530936667,0.634176387,0.510228584,0.219608894,0.530936667,-0.258768005,0.381998451,-2.02777112,0.08582322,0.188350699,-6.493185738,"46,546",0.725032763,6,1
Q96H79,ZC3HAV1L,0.001316254,0.06092802,0.062142613,0.046364603,0.114328587,0.114329396,0.078856142,0.04015686,0.062968195,0.053646312,0.078856142,-0.044229874,0.064802809,-2.014009542,0.087523337,0.191309876,-6.512815009,"32,962",0.71826261,7,1
P08572,COL4A2,1.348795468,1.650329315,1.339741914,1.754554586,2.299458646,1.926608466,1.544242829,1.796392748,1.905793034,1.499562392,1.905793034,-0.368320352,1.707515497,-2.010665224,0.087941565,0.191951772,-6.517580767,"167,553",0.716807874,10,1
O15417,TNRC18,1.198918243,0.819266306,0.869569193,0.840666066,1.491101897,2.200986947,0.698395632,2.182385534,0.698017811,0.855117629,1.491101897,-0.711112551,1.287661227,-2.006283102,0.088492604,0.193017838,-6.523822707,"314,519",0.714402552,3,1
Q6P3S6,FBXO42,1.773973939,2.044063857,2.400286983,2.143309915,2.28985981,1.223595036,1.292385877,1.39385495,1.946023749,2.093686886,1.39385495,0.540484755,1.820166296,1.991913593,0.090323858,0.196271302,-6.544268723,"77,839",0.707143197,9,1
Q99836,MYD88,0.058629428,0.011992367,1.00E-07,0.022680775,0.057999465,0.077207732,0.020285205,0.099537176,0.178052888,0.017336571,0.077207732,-0.040431727,0.043541531,-1.988982318,0.090702043,0.197000491,-6.548435337,"33,233",0.705532692,12,1
P47736,RAP1GAP,0.114010984,0.14442725,0.261102199,0.194223338,0.341977214,0.288056042,0.189030457,0.244567868,0.249551521,0.169325294,0.249551521,-0.087466953,0.222174419,-1.981213429,0.091712024,0.198741765,-6.559471235,"73,361",0.701710858,6,1
Q5D0E6,DALRD3,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.032205698,0.073436049,0.015478829,0.045047935,1.00E-07,0.032205698,-0.030280069,0.015140134,-1.979145795,0.091982707,0.199220452,-6.562406613,"59,363",0.700666078,6,1
Q96JJ7,TMX3,0.031163794,0.067549121,0.104297902,0.066365671,0.041465482,0.025094537,0.032555634,0.049813257,0.051757578,0.066957396,0.041465482,0.030111894,0.052288175,1.961999155,0.094258341,0.203434319,-6.586720464,"51,872",0.691575781,14,1
Q9NRA8,EIF4ENIF1,0.141316381,0.147590909,0.129931227,0.14369043,0.18750558,0.183900305,0.184038908,0.124930536,0.174215302,0.142503406,0.183900305,-0.029461596,0.155363035,-1.958951938,0.09466858,0.204237721,-6.591035911,"108,201",0.689864045,19,1
Q16204,CCDC6,0.019551334,0.011948398,0.043779769,0.03929223,0.033979929,0.03533649,0.105956205,0.097450404,0.113805108,0.029421782,0.097450404,-0.039537824,0.048411845,-1.957465896,0.094869286,0.204466531,-6.593139824,"53,291",0.689377772,25,1
Q9Y6I3,EPN1,0.108721367,0.157127036,0.035504544,0.136105248,0.077015606,0.044822899,1.00E-07,0.074069575,0.050184804,0.122413308,0.050184804,0.060387504,0.079170797,1.952441666,0.095550999,0.205743953,-6.600250049,"60,293",0.686672919,7,1
Q4KMG0,CDON,0.655931292,4.473660382,0.655995842,2.071086635,0.888706091,1.00E-07,1.00E-07,1.00E-07,3.057812385,1.363541239,1.00E-07,1.74199194,1.093172568,1.943133945,0.096826802,0.207958331,-6.613409883,"139,147",0.682023677,3,1
Q8IXQ5,KLHL7,0.460845231,0.482710963,0.436145231,0.385536865,0.458106914,0.552648153,0.481890523,0.683914531,0.583775037,0.448495231,0.552648153,-0.102830457,0.492724801,-1.939136381,0.097379924,0.208806766,-6.619056899,"65,992",0.680255433,15,1
P83916,CBX1,1.00E-07,0.036182742,0.027167931,0.019075047,0.012777338,1.00E-07,0.00756405,1.00E-07,0.024839011,0.023121489,0.00756405,0.015521058,0.012845926,1.925698316,0.099262346,0.211909409,-6.638017296,"21,418",0.673849759,6,1
O75326,SEMA7A,1.00E-07,2.789971081,1.00E-07,1.00E-07,0.953332586,7.235264507,4.261305605,1.948471879,1.995014559,1.00E-07,1.995014559,-2.902100799,2.148543245,-1.92413186,0.09948411,0.212333814,-6.640225203,"74,824",0.672980838,4,1
O43823,AKAP8,0.051199578,0.061942083,0.023601863,0.037826739,0.090511366,0.097989245,0.090735516,0.02927881,0.110476271,0.044513158,0.090735516,-0.033486169,0.06038565,-1.916612509,0.100555477,0.214323637,-6.65081693,"76,108",0.66892993,20,1
O15066,KIF3B,1.00E-07,1.00E-07,1.00E-07,0.068276731,0.144265109,0.064815024,1.00E-07,0.168601981,1.00E-07,1.00E-07,0.064815024,-0.077351296,0.055744906,-1.900479926,0.102892715,0.218096302,-6.673502909,"85,125",0.661351698,12,1
Q96N11,C7orf26,0.111289103,0.137880661,0.053297068,0.075282036,0.072853024,0.04567173,0.003085519,0.073717246,0.067232153,0.093285569,0.067232153,0.045605337,0.071634548,1.883080208,0.105473659,0.222447412,-6.697910445,"50,047",0.652772643,6,1
Q86XN7,PROSER1,0.119235378,0.107908267,0.030333229,0.319445829,0.420938377,0.216547242,0.368403925,0.184281482,0.375771299,0.113571822,0.368403925,-0.153312081,0.220886716,-1.881880518,0.105653945,0.222675263,-6.699590953,"95,698",0.652328026,5,1
Q9BY50,SEC11C,0.043452249,0.041096485,0.031262186,1.00E-07,0.027685168,1.00E-07,1.00E-07,1.00E-07,0.069315209,0.036179335,1.00E-07,0.022031388,0.017937061,1.871092425,0.107288839,0.225506537,-6.714688767,"21,542",0.646840865,5,1
Q16539,MAPK14,0.056848122,0.073786411,0.033767691,0.08983679,0.047083674,0.044993302,0.030975654,0.040706252,0.019872684,0.065317266,0.040706252,0.022620033,0.052249737,1.866815288,0.10794389,0.226679124,-6.720667529,"41,293",0.644588475,15,1
Q8NB49,ATP11C,0.021877729,0.085787381,0.175357577,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.053832555,1.00E-07,0.070755597,0.035377898,1.86107772,0.108828783,0.228377424,-6.728681374,"129,477",0.64134683,12,1
Q8WXI2,CNKSR2,1.00E-07,0.049243731,1.00E-07,1.00E-07,0.034766853,0.156027512,0.339710381,0.039136788,0.162792008,1.00E-07,0.156027512,-0.130099376,0.077360696,-1.854976917,0.109777512,0.230159383,-6.737194465,"117,535",0.637971315,6,1
P12931,SRC,1.00E-07,0.03886988,0.028527525,0.012543122,0.116746531,0.092326676,1.00E-07,0.061761672,0.047083665,0.020535324,0.061761672,-0.047723588,0.043846951,-1.85311175,0.110069179,0.230718574,-6.739795449,"59,835",0.636917441,10,1
Q5FWF5,ESCO1,0.04692937,0.260521404,0.165843418,0.124802062,0.238785889,0.170677626,0.506010816,0.29095024,0.319196639,0.14532274,0.29095024,-0.152082079,0.225565103,-1.851066921,0.110389815,0.23133822,-6.742646061,"94,983",0.635752611,4,1
Q9UDT6,CLIP2,1.00E-07,1.00E-07,0.028915491,1.00E-07,0.054383222,0.028828288,0.083999824,1.00E-07,0.065718309,1.00E-07,0.054383222,-0.034573911,0.024515903,-1.850011431,0.110555677,0.231580831,-6.744117103,"115,837",0.635297392,33,1
Q9H9B1,EHMT1,0.077389395,0.072304909,0.051752747,0.058877274,0.098178104,0.083890152,0.062763381,0.141738061,0.074555648,0.065591092,0.083890152,-0.031561343,0.080861753,-1.842080197,0.111809849,0.23383711,-6.755162699,"141,466",0.631086566,25,1
Q9H3Z4,DNAJC5,1.00E-07,1.00E-07,0.031146652,1.00E-07,0.050747543,0.117319081,0.310730163,0.019677757,0.276145197,1.00E-07,0.117319081,-0.116831898,0.066202687,-1.838195051,0.112429286,0.23479751,-6.760568101,"22,149",0.629306513,6,1
Q5SW79,CEP170,0.1205139,0.126694656,0.120466393,0.106224713,0.138448763,0.164195072,0.107368947,0.166994336,0.120831808,0.120490146,0.138448763,-0.025776864,0.131363347,-1.833298084,0.113214832,0.235921645,-6.767376202,"175,293",0.627232213,45,1
O75051,PLXNA2,1.019577601,0.92000276,0.97853382,0.915536682,1.052003637,1.006443158,0.974910448,1.009242046,1.009527438,0.94926829,1.009242046,-0.052237107,0.984531269,-1.829595826,0.113812291,0.237006407,-6.772519569,"211,104",0.625239914,35,1
Q15714,TSC22D1,0.223175033,0.071860176,0.178542726,0.219711695,0.017695907,0.122329709,0.015953401,0.168796565,0.15225765,0.199127211,0.122329709,0.092128512,0.127258151,1.828288153,0.114024055,0.237340481,-6.774335475,"109,677",0.624628182,3,1
