PG.ProteinGroups,PG.Genes
Q9H7L9,SUDS3
Q9BVS4,RIOK2
O00305,CACNB4
Q5HYI7,MTX3
P36969,GPX4
Q86WG5,SBF2
Q92551,IP6K1
Q9Y6I3,EPN1
P07384,CAPN1
P53992,SEC24C
Q9Y547,HSPB11
O60477,BRINP1
Q9UMS4,PRPF19
P51828,ADCY7
Q9HCJ5,ZSWIM6
Q9UJV8,PURG
Q13554,CAMK2B
O60704,TPST2
Q08257,CRYZ
P21266,GSTM3
Q96G74,OTUD5
Q96QT6,PHF12
Q9BVV7,TIMM21
O15484,CAPN5
Q9UNW9,NOVA2
Q96CQ1,SLC25A36
O43422,THAP12
Q8N684,CPSF7
Q2TAZ0,ATG2A
P17787,CHRNB2
Q5TA45,INTS11
Q9Y6Y0,IVNS1ABP
Q8NHY2,COP1
Q5SY16,NOL9
Q92543,SNX19
Q02779,MAP3K10
Q99611,SEPHS2
O60294,LCMT2
Q9BRK0,REEP2
P35527,KRT9
P45985,MAP2K4
P56817,BACE1
Q15283,RASA2
Q9Y5Y2,NUBP2
O00625,PIR
P17152,TMEM11
P78312,FAM193A
Q5SWA1,PPP1R15B
P61019,RAB2A
P24863,CCNC
Q8NB14,USP38
P54252,ATXN3
Q96CN7,ISOC1
P41223,BUD31
Q9Y6X0,SETBP1
Q7Z6G8,ANKS1B
Q96JB2,COG3
Q8TF46,DIS3L
Q9BV19,C1orf50
P78368,CSNK1G2
P16152,CBR1
O75874,IDH1
Q5VZE5,NAA35
Q86YB8,ERO1B
P25789,PSMA4
Q9Y3D6,FIS1
P16870,CPE
O15514,POLR2D
Q9NQV6,PRDM10
Q96CN9,GCC1
P41229,KDM5C
O43665,RGS10
Q96EY9,ADAT3
Q8IUL8,CILP2
Q3V6T2,CCDC88A
Q96D46,NMD3
Q6IN84,MRM1
Q659A1,ICE2
Q8N398,VWA5B2
A1A4S6,ARHGAP10
O15460,P4HA2
Q9P2M4,TBC1D14
Q96PE3,INPP4A
Q6NWY9,PRPF40B
O43306,ADCY6
Q2KJY2,KIF26B
O14579,COPE
Q9H074,PAIP1
P62495,ETF1
Q969T7,NT5C3B
Q9Y3A2,UTP11
Q9NWS9,ZNF446
Q9H227,GBA3
Q8TDM6,DLG5
Q9Y484,WDR45
Q9C026,TRIM9
Q99797,MIPEP
Q6ZW49,PAXIP1
Q9HCJ0,TNRC6C
Q6UW02,CYP20A1
Q9BPZ7,MAPKAP1
Q9UN37,VPS4A
Q96BW9,TAMM41
Q03111,MLLT1
Q2LD37,KIAA1109
Q9BVG9,PTDSS2
P43007,SLC1A4
Q6IQ21,ZNF770
P33897,ABCD1
Q9Y5J1,UTP18
P54198,HIRA
B2RTY4,MYO9A
Q5XPI4,RNF123
O15382,BCAT2
Q14186,TFDP1
O75251,NDUFS7
Q9Y2B5,VPS9D1
Q9H9Q2,COPS7B
P52815,MRPL12
Q7LDG7,RASGRP2
Q9H9E3,COG4
Q9NVI7,ATAD3A
O95400,CD2BP2
Q00975,CACNA1B
Q86XP1,DGKH
Q9Y485,DMXL1
P62873,GNB1
Q92797,SYMPK
Q9NUT2,ABCB8
Q86T24,ZBTB33
Q6NZY4,ZCCHC8
Q9NQS1,AVEN
Q9UNE7,STUB1
Q9UJX6,ANAPC2
Q7Z569,BRAP
Q9UBU6,FAM8A1
P53621,COPA
Q9NX78,TMEM260
P42766,RPL35
Q7L2J0,MEPCE
Q9H300,PARL
Q92565,RAPGEF5
O60486,PLXNC1
P52943,CRIP2
Q14966,ZNF638
Q86UY6,NAA40
Q9Y617,PSAT1
Q9P243,ZFAT
Q5TC84,OGFRL1
Q92968,PEX13
P17677,GAP43
Q9H0A0,NAT10
Q01130,SRSF2
Q9H1P3,OSBPL2
P84103,SRSF3
Q9UGP5,POLL
P13994,CCDC130
Q13432,UNC119
Q93073,SECISBP2L
Q8N3X1,FNBP4
Q75QN2,INTS8
O00555,CACNA1A
Q8IZE3,SCYL3
O14772,FPGT
Q1ED39,KNOP1
Q86VH4,LRRTM4
Q9BUE6,ISCA1
P42336,PIK3CA
Q9BW19,KIFC1
Q9H2K8,TAOK3
Q9BSC4,NOL10
Q8NBN3,TMEM87A
A8MPS7,YDJC
Q9HB40,SCPEP1
P09211,GSTP1
Q07890,SOS2
Q9NV96,TMEM30A
P51793,CLCN4
Q13405,MRPL49
Q9Y619,SLC25A15
P33176,KIF5B
Q13098,GPS1
Q92995,USP13
P54278,PMS2
O43295,SRGAP3
O95816,BAG2
Q8IX04,UEVLD
Q8WUY1,THEM6
P13674,P4HA1
Q12907,LMAN2
P78536,ADAM17
Q9Y5J7,TIMM9
Q9Y5B0,CTDP1
Q6IN85,PPP4R3A
Q9UM73,ALK
Q9Y2W6,TDRKH
Q9HBK9,AS3MT
Q969J3,BORCS5
Q96HI0,SENP5
Q9UDX5,MTFP1
Q13107,USP4
Q15050,RRS1
Q13427,PPIG
Q86VR8,FJX1
Q9NPJ3,ACOT13
Q8IZD6,SLC22A15
O75436,VPS26A
P52747,ZNF143
P61313,RPL15
Q9NYS7,WSB2
O75319,DUSP11
Q8IY18,SMC5
Q9Y2L5,TRAPPC8
Q86SX6,GLRX5
Q6UWI4,SHISA2
Q8IXI2,RHOT1
Q9UK58,CCNL1
O95372,LYPLA2
Q8IU60,DCP2
Q92552,MRPS27
Q9NR77,PXMP2
O15488,GYG2
Q9GZR1,SENP6
Q9HCE3,ZNF532
O43143,DHX15
Q15257,PTPA
O43303,CCP110
Q9NYS0,NKIRAS1
Q96MX6,WDR92
Q8N7R7,CCNYL1
O95139,NDUFB6
Q13042,CDC16
Q13418,ILK
Q9UNM6,PSMD13
Q96FK6,WDR89
A1A5C7,SLC22A23
P52948,NUP98
Q03252,LMNB2
O60281,ZNF292
P24752,ACAT1
P0C7U0,ELFN1
Q9HCE5,METTL14
Q8IYU2,HACE1
O75157,TSC22D2
Q9Y4E1,WASHC2C
Q5JPH6,EARS2
Q6JQN1,ACAD10
Q8N960,CEP120
P39748,FEN1
Q03426,MVK
Q8NDL9,AGBL5
P47972,NPTX2
P52907,CAPZA1
Q6IQ22,RAB12
Q14353,GAMT
Q70Z35,PREX2
Q5VT06,CEP350
Q6ICH7,ASPHD2
Q9H0E9,BRD8
P14415,ATP1B2
P36404,ARL2
Q9H773,DCTPP1
Q08170,SRSF4
O95453,PARN
Q8IWE5,PLEKHM2
Q9UN86,G3BP2
P38935,IGHMBP2
P23634,ATP2B4
P15882,CHN1
P62068,USP46
P09496,CLTA
O75818,RPP40
Q9UHR6,ZNHIT2
Q8N1G2,CMTR1
Q13275,SEMA3F
P29374,ARID4A
P10075,GLI4
Q96HY7,DHTKD1
Q92889,ERCC4
Q9UI26,IPO11
P04424,ASL
Q9P0N9,TBC1D7
Q8WUF8,FAM172A
Q5VWW1,C1QL3
P09417,QDPR
Q9NQ50,MRPL40
Q05519,SRSF11
Q4LE39,ARID4B
Q6ZN17,LIN28B
P26368,U2AF2
Q9UIA9,XPO7
Q96AX9,MIB2
P38432,COIL
P36957,DLST
P49643,PRIM2
P49368,CCT3
Q6P3X3,TTC27
P55289,CDH12
Q6NUK1,SLC25A24
P17252,PRKCA
P30740,SERPINB1
P42263,GRIA3
P24390,KDELR1
O00566,MPHOSPH10
P84090,ERH
P30519,HMOX2
Q9BYB0,SHANK3
Q9NY33,DPP3
Q93084,ATP2A3
Q96PU4,UHRF2
Q2TAC6,KIF19
P00519,ABL1
Q10567,AP1B1
Q96QE2,SLC2A13
Q5TCZ1,SH3PXD2A
Q3ZCT1,ZNF260
Q9NQP4,PFDN4
Q6VY07,PACS1
O00459,PIK3R2
O95747,OXSR1
P82930,MRPS34
Q8N554,ZNF276
Q9BY41,HDAC8
Q15047,SETDB1
Q92643,PIGK
Q9NP58,ABCB6
Q96CW1,AP2M1
Q12792,TWF1
O14807,MRAS
P46977,STT3A
P13637,ATP1A3
Q9NVH0,EXD2
Q330K2,NDUFAF6
P02787,TF
Q14123,PDE1C
P57071,PRDM15
Q16720,ATP2B3
Q8TCS8,PNPT1
Q14147,DHX34
Q9UHQ4,BCAP29
Q6UWP7,LCLAT1
Q16864,ATP6V1F
Q3SY69,ALDH1L2
Q92828,CORO2A
Q8NBJ5,COLGALT1
Q9Y5R2,MMP24
P46783,RPS10
Q9BWE0,REPIN1
Q99700,ATXN2
Q9H299,SH3BGRL3
Q13153,PAK1
Q9BYN0,SRXN1
Q8TED0,UTP15
Q96I25,RBM17
Q5T7N2,L1TD1
Q13683,ITGA7
P62745,RHOB
Q8WWH5,TRUB1
Q9UKF7,PITPNC1
O43264,ZW10
Q9Y3E1,HDGFL3
O94832,MYO1D
Q9H8H0,NOL11
Q15738,NSDHL
Q96S15,WDR24
Q9P206,KIAA1522
Q9NTJ4,MAN2C1
Q04864,REL
Q86T03,PIP4P1
P20042,EIF2S2
Q00325,SLC25A3
Q8TEM1,NUP210
P30101,PDIA3
Q96RR4,CAMKK2
Q9BVG8,KIFC3
P28072,PSMB6
Q9UGQ3,SLC2A6
Q9NPA8,ENY2
P09234,SNRPC
Q14651,PLS1
Q9Y2B9,PKIG
Q8N5Z0,AADAT
P56962,STX17
Q8IZ69,TRMT2A
Q17R89,ARHGAP44
Q9Y5W8,SNX13
P24386,CHM
Q16527,CSRP2
P06753,TPM3
Q969V5,MUL1
Q96Q15,SMG1
O43592,XPOT
Q96JM2,ZNF462
Q13200,PSMD2
Q9H4M9,EHD1
P48163,ME1
P06454,PTMA
Q5T0D9,TPRG1L
O15127,SCAMP2
Q05516,ZBTB16
Q9UMF0,ICAM5
Q96PY5,FMNL2
Q8N4L2,PIP4P2
Q9Y4A5,TRRAP
Q9UBK8,MTRR
P13693,TPT1
P53634,CTSC
O75822,EIF3J
Q7L273,KCTD9
Q6P0N0,MIS18BP1
Q8TBP0,TBC1D16
Q15777,MPPED2
P08582,MELTF
Q8TDJ6,DMXL2
O15372,EIF3H
Q16698,DECR1
P07919,UQCRH
Q8N1G0,ZNF687
O15155,BET1
O43933,PEX1
Q8NBF2,NHLRC2
P29992,GNA11
Q8WUA2,PPIL4
P26599,PTBP1
Q6KC79,NIPBL
Q86VY9,TMEM200A
Q6ZRV2,FAM83H
Q9BSA9,TMEM175
P32119,PRDX2
Q13435,SF3B2
Q9Y3C5,RNF11
Q9NSY1,BMP2K
Q96B86,RGMA
P23468,PTPRD
P63172,DYNLT1
Q9GZY4,COA1
O96008,TOMM40
Q96CP6,GRAMD1A
Q86SF2,GALNT7
O75191,XYLB
Q9NUE0,ZDHHC18
Q14999,CUL7
P62269,RPS18
P54709,ATP1B3
O43826,SLC37A4
O14562,UBFD1
Q9UBM7,DHCR7
Q9BYJ9,YTHDF1
P62820,RAB1A
Q9NRG4,SMYD2
P25685,DNAJB1
Q8NAF0,ZNF579
Q9BTX1,NDC1
O76094,SRP72
Q92736,RYR2
Q9P2B4,CTTNBP2NL
P15170,GSPT1
Q16825,PTPN21
Q9BT09,CNPY3
P45880,VDAC2
P51617,IRAK1
Q9H9A5,CNOT10
O95622,ADCY5
P48506,GCLC
Q15428,SF3A2
Q8WV74,NUDT8
Q96CX6,LRRC58
Q9Y653,ADGRG1
Q7Z2W4,ZC3HAV1
O77932,DXO
P03928,MT-ATP8
O95619,YEATS4
Q14153,FAM53B
Q9UEY8,ADD3
P20290,BTF3
Q9UPV7,PHF24
Q08AD1,CAMSAP2
Q9BRG1,VPS25
P49281,SLC11A2
Q96DA6,DNAJC19
Q5JY77,GPRASP1
P50452,SERPINB8
Q9NZT2,OGFR
Q9Y2U5,MAP3K2
Q14CS0,UBXN2B
Q9NVF9,ETNK2
O75934,BCAS2
Q9Y399,MRPS2
Q9UKG9,CROT
Q641Q3,METRNL
Q96KR7,PHACTR3
Q9H2Y7,ZNF106
Q96EL2,MRPS24
Q5VYK3,ECPAS
O00505,KPNA3
Q96RY7,IFT140
Q8NG68,TTL
O60884,DNAJA2
Q7Z3B4,NUP54
Q8IYB4,PEX5L
O95631,NTN1
Q2TAA5,ALG11
Q99567,NUP88
O14745,SLC9A3R1
Q9UPT9,USP22
Q9BUB7,TMEM70
P17600,SYN1
Q8IY37,DHX37
Q96CV9,OPTN
Q96Q05,TRAPPC9
Q14315,FLNC
Q9BZC7,ABCA2
Q9Y6A9,SPCS1
Q13595,TRA2A
Q96RS6,NUDCD1
Q9NRW1,RAB6B
Q3B7J2,GFOD2
Q9HAV7,GRPEL1
Q9NR61,DLL4
Q92186,ST8SIA2
Q9H267,VPS33B
Q9NTI5,PDS5B
Q96G03,PGM2
Q8N612,FAM160A2
Q96K17,BTF3L4
Q8TCT9,HM13
Q92564,DCUN1D4
O60641,SNAP91
P41743,PRKCI
P40855,PEX19
Q9UKI8,TLK1
Q00536,CDK16
Q15542,TAF5
Q9GZT6,CCDC90B
Q9H0M0,WWP1
O60563,CCNT1
Q7Z589,EMSY
Q15366,PCBP2
Q9NSD9,FARSB
Q6NUQ4,TMEM214
Q8N0V3,RBFA
Q92824,PCSK5
O43242,PSMD3
P49796,RGS3
Q96D70,R3HDM4
Q8N428,GALNT16
Q9BV44,THUMPD3
P29375,KDM5A
Q9P2K8,EIF2AK4
Q96JE9,MAP6
O75063,FAM20B
Q13907,IDI1
Q8TCG5,CPT1C
P20618,PSMB1
O00299,CLIC1
P40939,HADHA
O75317,USP12
Q15648,MED1
P24534,EEF1B2
P56730,PRSS12
Q13451,FKBP5
Q9H2P0,ADNP
P19338,NCL
Q7Z7F0,KHDC4
Q8WVJ2,NUDCD2
Q6PI48,DARS2
Q9H3T3,SEMA6B
O95251,KAT7
Q9BZE4,GTPBP4
A0JNW5,UHRF1BP1L
Q9NVV5,AIG1
P43121,MCAM
Q9NRW4,DUSP22
Q7L8J4,SH3BP5L
Q99689,FEZ1
Q96HP4,OXNAD1
O95295,SNAPIN
A6NK58,LIPT2
Q86VX2,COMMD7
P62244,RPS15A
Q86SJ2,AMIGO2
Q04760,GLO1
O96007,MOCS2
Q8N5G2,MACO1
P00352,ALDH1A1
P29590,PML
Q8WXH0,SYNE2
Q4LDG9,DNAL1
Q9P2L0,WDR35
P49321,NASP
P12757,SKIL
Q8TEQ8,PIGO
P07196,NEFL
Q96CB8,INTS12
O00562,PITPNM1
Q5UIP0,RIF1
Q9H939,PSTPIP2
P23921,RRM1
P32418,SLC8A1
Q8WXX7,AUTS2
Q86WN1,FCHSD1
Q7Z333,SETX
P51858,HDGF
Q6P3W7,SCYL2
O95352,ATG7
O43516,WIPF1
Q8N9F7,GDPD1
Q5VYV7,SLX4IP
Q92598,HSPH1
Q969S3,ZNF622
Q9H0B6,KLC2
P63104,YWHAZ
Q13823,GNL2
Q9NUD5,ZCCHC3
Q9HBW0,LPAR2
Q9UL68,MYT1L
Q96CS7,PLEKHB2
Q969R5,L3MBTL2
Q9Y639,NPTN
P29373,CRABP2
Q8N1F8,STK11IP
Q8IWA5,SLC44A2
Q86W92,PPFIBP1
P29074,PTPN4
O75146,HIP1R
P11021,HSPA5
O00422,SAP18
Q0PNE2,ELP6
Q9Y467,SALL2
Q92613,JADE3
Q96SB8,SMC6
O60733,PLA2G6
Q9Y5S1,TRPV2
Q8IUC8,GALNT13
Q6UB98,ANKRD12
Q9Y5T5,USP16
O14683,TP53I11
Q9H0F7,ARL6
Q9BSJ2,TUBGCP2
Q9Y6Y8,SEC23IP
P53701,HCCS
Q6DKK2,TTC19
P57768,SNX16
P43897,TSFM
O15381,NVL
P56589,PEX3
P54756,EPHA5
Q9HB71,CACYBP
Q8IYK8,REM2
Q92830,KAT2A
O14967,CLGN
Q6P1A2,LPCAT3
Q92600,CNOT9
Q7Z4W1,DCXR
Q15311,RALBP1
Q96P50,ACAP3
P53597,SUCLG1
Q9NVE7,PANK4
Q99615,DNAJC7
Q9NZI8,IGF2BP1
P63000,RAC1
Q04323,UBXN1
Q6ZUT1,NKAPD1
O75439,PMPCB
Q9BS31,ZNF649
Q9UIW2,PLXNA1
Q9ULB5,CDH7
Q9P1Y5,CAMSAP3
Q9UPA5,BSN
Q15800,MSMO1
Q9C0I1,MTMR12
Q9HCP0,CSNK1G1
Q13325,IFIT5
Q8NFW8,CMAS
Q8WUH2,TGFBRAP1
Q8IY67,RAVER1
Q8NCG7,DAGLB
Q9UJS0,SLC25A13
Q9Y4E5,ZNF451
Q76N89,HECW1
P21675,TAF1
Q7Z7K6,CENPV
Q92888,ARHGEF1
P31323,PRKAR2B
O60503,ADCY9
O76080,ZFAND5
O14544,SOCS6
P68036,UBE2L3
Q9UHB4,NDOR1
Q9P2Y4,ZNF219
Q9HAN9,NMNAT1
P11166,SLC2A1
Q15831,STK11
Q9H668,STN1
Q8N543,OGFOD1
Q16836,HADH
Q8N5Y8,PARP16
Q9HAU5,UPF2
Q1KMD3,HNRNPUL2
Q9BXF6,RAB11FIP5
P38159,RBMX
P13929,ENO3
Q13613,MTMR1
Q99536,VAT1
Q8IY95,TMEM192
Q8NDX5,PHC3
Q9NZ72,STMN3
Q9UGI8,TES
Q14690,PDCD11
O95905,ECD
Q9BX67,JAM3
Q86V87,FAM160B2
O75431,MTX2
Q9BSH4,TACO1
Q8NE31,FAM13C
Q86V81,ALYREF
P11047,LAMC1
Q96K83,ZNF521
P54764,EPHA4
Q07157,TJP1
Q5VT52,RPRD2
Q9UBL6,CPNE7
Q8WUJ0,STYX
P30626,SRI
P51659,HSD17B4
P38405,GNAL
O75113,N4BP1
Q5TA50,CPTP
Q92615,LARP4B
Q8WUM0,NUP133
O95390,GDF11
P63208,SKP1
Q9BV79,MECR
Q8N357,SLC35F6
Q9NZC9,SMARCAL1
O14594,NCAN
Q9HCM9,TRIM39
Q8NFH5,NUP35
P53611,RABGGTB
P54762,EPHB1
Q5T447,HECTD3
Q96G97,BSCL2
P19367,HK1
Q9Y315,DERA
O94916,NFAT5
O43847,NRDC
Q8N1N4,KRT78
P35268,RPL22
Q5RKV6,EXOSC6
Q96PU8,QKI
Q9BUQ8,DDX23
Q4L235,AASDH
P50440,GATM
Q8WVC6,DCAKD
Q9P2E5,CHPF2
Q96QZ7,MAGI1
Q01974,ROR2
P48426,PIP4K2A
P55290,CDH13
Q96JM3,CHAMP1
Q13464,ROCK1
Q5HYJ3,FAM76B
Q14692,BMS1
P06756,ITGAV
P13984,GTF2F2
Q9UKM9,RALY
Q9Y5E8,PCDHB15
Q86Y56,DNAAF5
Q5EBM0,CMPK2
Q9BUF5,TUBB6
Q13409,DYNC1I2
Q8IUW3,SPATA2L
P05114,HMGN1
Q9UH65,SWAP70
P30084,ECHS1
Q96PD2,DCBLD2
Q8ND04,SMG8
O43615,TIMM44
Q14498,RBM39
Q13625,TP53BP2
Q96P53,WDFY2
Q86Z23,C1QL4
Q9H0R3,TMEM222
Q9UPW8,UNC13A
P30085,CMPK1
Q9NX07,TRNAU1AP
O60229,KALRN
Q8NCN2,ZBTB34
P54284,CACNB3
Q86X02,CDR2L
Q92563,SPOCK2
Q9H3F6,KCTD10
O76062,TM7SF2
Q96NX9,DACH2
P50416,CPT1A
Q9UIJ7,AK3
P62312,LSM6
O75608,LYPLA1
Q13424,SNTA1
Q9UQE7,SMC3
Q8WW12,PCNP
Q70HW3,SLC25A26
P25787,PSMA2
Q6GYQ0,RALGAPA1
Q9UBS8,RNF14
Q9UHB6,LIMA1
Q9HC56,PCDH9
Q14019,COTL1
P20839,IMPDH1
O00559,EBAG9
A6NIH7,UNC119B
P60866,RPS20
Q6R327,RICTOR
Q9BYE7,PCGF6
Q99575,POP1
P62834,RAP1A
Q9UBC2,EPS15L1
Q9GZT8,NIF3L1
Q9NQH7,XPNPEP3
Q96DH6,MSI2
Q9BV35,SLC25A23
O00214,LGALS8
Q8N1E6,FBXL14
Q13164,MAPK7
Q86YS7,C2CD5
P01116,KRAS
P50747,HLCS
Q96GA7,SDSL
Q7Z2W9,MRPL21
Q96SY0,INTS14
Q8N3F8,MICALL1
O60664,PLIN3
O00629,KPNA4
Q7Z3D6,DGLUCY
Q14839,CHD4
Q9UPP5,KIAA1107
P54274,TERF1
P48637,GSS
P41732,TSPAN7
Q96JK9,MAML3
Q9BZ29,DOCK9
A6QL63,BTBD11
O15305,PMM2
Q13228,SELENBP1
Q9BY44,EIF2A
P27635,RPL10
Q14667,KIAA0100
Q96JJ3,ELMO2
P56373,P2RX3
Q2Q1W2,TRIM71
O75132,ZBED4
Q9H089,LSG1
Q8N9T8,KRI1
Q9ULI1,NWD2
P78540,ARG2
Q8IWS0,PHF6
P46736,BRCC3
Q8TER5,ARHGEF40
Q96I99,SUCLG2
Q96RS0,TGS1
Q02040,AKAP17A
P28329,CHAT
Q8WVF1,OSCP1
P13667,PDIA4
Q5T160,RARS2
O75382,TRIM3
P55084,HADHB
Q9BUI4,POLR3C
O94830,DDHD2
Q9Y2Z2,MTO1
Q92804,TAF15
P46926,GNPDA1
P15531,NME1
Q96RY5,CRAMP1
Q8N2F6,ARMC10
O43272,PRODH
P35475,IDUA
Q9NTI2,ATP8A2
P23469,PTPRE
Q9UBQ5,EIF3K
P51648,ALDH3A2
P25440,BRD2
Q9NVA4,TMEM184C
Q9H1V8,SLC6A17
Q9NQC3,RTN4
Q8NFZ0,FBH1
Q99439,CNN2
Q5JVF3,PCID2
Q9ULG1,INO80
P0CJ78,ZNF865
Q8N8A2,ANKRD44
P51512,MMP16
Q9Y6A4,CFAP20
Q96F24,NRBF2
P17014,ZNF12
Q9H9Q4,NHEJ1
O75881,CYP7B1
Q66K74,MAP1S
P62841,RPS15
Q9Y4F9,RIPOR2
O00410,IPO5
P12814,ACTN1
Q9UBL3,ASH2L
Q92859,NEO1
Q8WV60,PTCD2
Q7L5D6,GET4
Q6WCQ1,MPRIP
Q5C9Z4,NOM1
Q6ZMZ3,SYNE3
O60287,URB1
Q9BYD2,MRPL9
Q05084,ICA1
Q8N336,ELMOD1
Q9BYC5,FUT8
Q9NR48,ASH1L
Q96J84,KIRREL1
Q6NSI8,KIAA1841
Q9Y232,CDYL
Q9H981,ACTR8
Q8N594,MPND
Q86VX9,MON1A
P31946,YWHAB
Q96DT7,ZBTB10
Q7Z4S6,KIF21A
Q8N511,TMEM199
Q9Y6X6,MYO16
Q86YJ7,ANKRD13B
Q9Y584,TIMM22
Q3MHD2,LSM12
P61081,UBE2M
Q8WZ74,CTTNBP2
Q9Y6K8,AK5
Q9UBB5,MBD2
Q6P2I3,FAHD2B
Q9BSF4,TIMM29
Q9BRR8,GPATCH1
Q8TEL6,TRPC4AP
Q15811,ITSN1
Q8TEP8,CEP192
Q9H082,RAB33B
Q9NZB2,FAM120A
O75953,DNAJB5
Q70CQ2,USP34
Q8NCT3,KIAA0895
Q93008,USP9X
Q9BYG3,NIFK
P13716,ALAD
Q9ULH1,ASAP1
Q96RQ3,MCCC1
P50570,DNM2
Q9UL18,AGO1
P49757,NUMB
Q7Z7F7,MRPL55
O15014,ZNF609
O75448,MED24
Q96FN4,CPNE2
Q9NZN3,EHD3
P12268,IMPDH2
Q15406,NR6A1
P27544,CERS1
O14639,ABLIM1
P16219,ACADS
Q9P0S9,TMEM14C
Q9NZJ5,EIF2AK3
P42229,STAT5A
Q9H3H3,C11orf68
O15344,MID1
P05412,JUN
Q15942,ZYX
Q9HCJ2,LRRC4C
Q9HAT2,SIAE
O14810,CPLX1
Q9P0K7,RAI14
Q96RL1,UIMC1
Q16204,CCDC6
Q2PZI1,DPY19L1
Q96QC0,PPP1R10
Q00765,REEP5
Q13813,SPTAN1
P14649,MYL6B
P51153,RAB13
P58166,INHBE
Q8IZP0,ABI1
Q8N9N7,LRRC57
Q8TB03,CXorf38
Q9UPN7,PPP6R1
Q92545,TMEM131
P37840,SNCA
Q9BSL1,UBAC1
P20339,RAB5A
O75208,COQ9
Q5JTH9,RRP12
O14786,NRP1
P07355,ANXA2
Q9HCE6,ARHGEF10L
Q9Y5K6,CD2AP
O94887,FARP2
Q9UK22,FBXO2
Q6GQQ9,OTUD7B
P42574,CASP3
P21359,NF1
P05455,SSB
Q9HAV4,XPO5
A6NED2,RCCD1
P09661,SNRPA1
Q13283,G3BP1
P10515,DLAT
P06400,RB1
Q8IXB1,DNAJC10
A6NDG6,PGP
Q8N7J2,AMER2
O75373,ZNF737
Q6P3S6,FBXO42
Q13099,IFT88
Q8WVQ1,CANT1
Q9UQ90,SPG7
Q9Y576,ASB1
Q96SZ5,ADO
O60315,ZEB2
Q9BVM2,DPCD
Q567U6,CCDC93
Q9Y5X3,SNX5
P18084,ITGB5
Q7Z553,MDGA2
Q9UIF8,BAZ2B
P55809,OXCT1
P20073,ANXA7
Q12766,HMGXB3
Q9UQ26,RIMS2
Q8NEC7,GSTCD
Q9H792,PEAK1
P39019,RPS19
Q4VCS5,AMOT
Q8NC51,SERBP1
Q9Y692,GMEB1
Q99543,DNAJC2
Q8N5N7,MRPL50
Q9NRJ4,TULP4
O43707,ACTN4
Q8NBL3,TMEM178A
Q9H2S9,IKZF4
Q49AN0,CRY2
Q9Y520,PRRC2C
Q96GZ6,SLC41A3
O00257,CBX4
Q86TB9,PATL1
P49959,MRE11
Q03164,KMT2A
Q6ZMW3,EML6
Q12772,SREBF2
A1L390,PLEKHG3
P33992,MCM5
Q9H583,HEATR1
P63220,RPS21
Q8IUX1,TMEM126B
P12004,PCNA
P24821,TNC
Q8N4N3,KLHL36
P17900,GM2A
Q8NFM7,IL17RD
Q5SGD2,PPM1L
Q9Y6A2,CYP46A1
Q8IV48,ERI1
Q9HCE0,EPG5
O95671,ASMTL
O14744,PRMT5
P36551,CPOX
Q6P9F7,LRRC8B
Q9NXA8,SIRT5
Q9P2H5,USP35
Q9Y3C8,UFC1
P57057,SLC37A1
Q6UXH1,CRELD2
P62910,RPL32
Q99805,TM9SF2
Q99836,MYD88
Q9H477,RBKS
P49407,ARRB1
Q9H5N1,RABEP2
Q9H3W5,LRRN3
Q8IYH5,ZZZ3
Q16595,FXN
Q9UMS0,NFU1
Q8N6M3,FITM2
Q96GW9,MARS2
P00491,PNP
P82970,HMGN5
Q8WXD2,SCG3
Q8NG06,TRIM58
Q01814,ATP2B2
P04080,CSTB
Q8TEA8,DTD1
O75943,RAD17
Q86TN4,TRPT1
Q99933,BAG1
Q86UV5,USP48
P34949,MPI
Q9H4G4,GLIPR2
Q9H9S3,SEC61A2
Q9NZR1,TMOD2
Q6UWP2,DHRS11
Q8NAP3,ZBTB38
Q8NFZ3,NLGN4Y
Q99436,PSMB7
Q14088,RAB33A
Q96EY7,PTCD3
Q9NTJ3,SMC4
Q9Y2V7,COG6
Q7Z434,MAVS
Q5VVJ2,MYSM1
P35612,ADD2
Q9P2K9,DISP3
Q9Y4D1,DAAM1
Q12830,BPTF
O43237,DYNC1LI2
Q8WYP3,RIN2
Q13144,EIF2B5
Q8TAA5,GRPEL2
Q8NDX6,ZNF740
O43399,TPD52L2
Q9H0N5,PCBD2
Q6ZNE5,ATG14
Q9UKV0,HDAC9
O43752,STX6
Q15751,HERC1
Q8NFI3,ENGASE
P48739,PITPNB
P13807,GYS1
P54920,NAPA
Q49A26,GLYR1
Q7L1V2,MON1B
P10809,HSPD1
P29966,MARCKS
P10253,GAA
P62333,PSMC6
P49841,GSK3B
O95696,BRD1
Q14997,PSME4
Q9NRV9,HEBP1
Q9NVC3,SLC38A7
Q7Z392,TRAPPC11
P06865,HEXA
Q9H974,QTRT2
Q9Y6X8,ZHX2
Q8WUN7,UBTD2
P56182,RRP1
Q00796,SORD
Q7L945,ZNF627
P36543,ATP6V1E1
P27986,PIK3R1
Q9UJX4,ANAPC5
Q8N8N0,RNF152
Q9NVH6,TMLHE
Q9UDR5,AASS
Q5T011,SZT2
Q8NBF6,AVL9
P80723,BASP1
Q9UBV2,SEL1L
Q9BRP1,PDCD2L
Q8N680,ZBTB2
P48507,GCLM
O60447,EVI5
Q9Y6M7,SLC4A7
